,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
505,108.0,-129,108.0,77.51937984,1,False,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,172.72,172.72,155,0,2,0,6.1,0.4,0.0,0.76,0.25,2,1,8,0,0,0,1,1,0,0,2,0,172.72,182.88,145,27,25,0,-2,-2,-2,-1,-8,0,-1,0,0.0,-10.16,-2,-6.1,0.0,-0.76,2,245.0,425.0,652.0,1300.0,585.0,185.0
515,-375.0,277,26.66666667,277.0,1,False,3,1,0,1,2.71,0.35,0.0,1.77,0.2,0,1,6,0,0,0,0,0,0,0,0,2,180.34,180.34,145,2,0,0,2.59,0.41,0.5,3.32,0.47,4,3,20,0,1,1,1,2,1,0,6,0,172.72,177.8,145,29,32,-1,0,-4,-6,-2,-14,0,-2,-1,7.62,2.54,3,0.12,-0.5,-1.55,2,211.0,800.0,400.0,875.0,180.0,921.0
518,245.0,-335,245.0,29.85074627,0,False,3,0,0,0,3.2,0.59,0.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,167.64,145,1,0,0,2.3,0.55,3.3,1.65,0.33,0,1,2,0,0,0,0,0,0,0,0,0,170.18,175.26,145,30,22,-1,0,0,0,-1,-2,0,0,0,-2.54,-7.62,-8,0.9,-3.3,1.35,2,700.0,300.0,450.0,325.0,950.0,115.0
526,-250.0,195,40.0,195.0,0,False,3,0,1,0,2.73,0.36,2.8,1.41,0.16,1,2,6,0,0,0,0,1,0,0,1,2,180.34,180.34,155,0,2,0,7.43,0.79,3.1,1.34,0.42,2,0,5,0,0,0,1,0,1,0,2,0,177.8,177.8,145,31,29,0,-1,-1,-1,2,1,0,1,-1,2.54,2.54,-2,-4.7,-0.3,0.07,2,275.0,600.0,220.0,1250.0,300.0,450.0
537,-380.0,315,26.31578947,315.0,0,False,3,1,0,0,1.24,0.32,0.0,2.32,0.5,0,1,0,0,0,0,0,0,0,0,0,0,170.18,180.34,135,0,1,0,4.45,0.4,0.8,1.2,0.25,2,4,448,0,0,0,0,0,0,0,6,2,167.64,167.64,145,34,32,1,-1,-2,-6,-3,-448,0,0,0,2.54,12.7,-2,-3.21,-0.8,1.12,2,170.0,1166.0,205.0,605.0,490.0,795.0
544,-335.0,240,29.85074627,240.0,0,False,3,0,0,0,9.8,0.53,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,182.88,185.42,145,1,0,0,2.88,0.45,1.0,1.63,0.32,4,8,48,1,0,0,6,5,3,0,14,0,172.72,180.34,145,38,31,-1,0,-4,-14,-8,-48,-1,-5,-3,10.16,5.08,-7,6.92,-1.0,-1.63,2,250.0,500.0,300.0,1250.0,180.0,800.0
548,-225.0,176,44.44444444,176.0,0,False,3,0,0,0,3.46,0.63,1.1,4.24,0.44,0,0,0,0,0,0,0,0,0,0,0,0,172.72,180.34,145,0,2,0,4.14,0.49,0.7,0.55,0.76,4,10,58,0,0,3,5,1,2,0,11,1,177.8,185.42,145,32,33,0,-2,-4,-11,-10,-58,0,-1,-2,-5.08,-5.08,1,-0.68,0.4,3.69,2,110.0,325.0,500.0,525.0,550.0,600.0
567,-286.0,225,34.96503497,225.0,1,False,3,2,0,0,2.99,0.43,2.0,1.46,0.25,2,4,13,0,0,0,0,0,3,0,3,0,170.18,177.8,145,0,2,0,2.6,0.44,6.9,4.59,1.0,2,0,2,0,0,0,0,1,1,0,2,0,175.26,185.42,145,32,35,2,-2,0,1,4,11,0,-1,2,-5.08,-7.62,3,0.39,-4.9,-3.13,2,575.0,700.0,-125.0,900.0,500.0,425.0
568,-167.0,130,59.88023952,130.0,1,False,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,172.72,145,1,0,0,3.47,0.54,0.7,8.33,0.85,0,1,2,0,0,0,0,0,0,0,0,2,175.26,182.88,145,30,33,-1,0,0,0,-1,-2,0,0,0,-2.54,-10.16,3,-3.47,-0.7,-8.33,2,300.0,375.0,275.0,1500.0,500.0,325.0
579,-139.0,112,71.94244604,112.0,0,False,3,0,1,0,23.41,0.53,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,0,170.18,172.72,155,0,1,0,2.66,0.37,1.0,2.08,0.33,1,1,9,0,0,0,1,0,1,0,2,1,167.64,167.64,145,34,30,0,0,0,-1,-1,-8,0,1,-1,2.54,5.08,-4,20.75,-1.0,-2.08,2,185.0,350.0,450.0,1500.0,700.0,275.0
580,-480.0,340,20.83333333,340.0,0,False,3,0,0,0,7.27,0.72,0.0,4.0,0.25,0,0,0,0,0,0,0,0,0,0,0,1,177.8,185.42,145,0,2,0,3.0,0.53,1.0,3.0,0.42,2,0,6,0,0,0,2,0,0,0,2,2,177.8,182.88,145,23,33,0,-2,-2,-2,0,-6,0,0,0,0.0,2.54,10,4.27,-1.0,1.0,2,140.0,500.0,250.0,1700.0,325.0,1250.0
588,-360.0,265,27.77777778,265.0,0,False,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,172.72,145,1,0,0,4.96,0.52,0.0,1.42,0.33,0,1,3,0,0,0,0,0,0,0,0,0,177.8,187.96,145,31,30,-1,0,0,0,-1,-3,0,0,0,-10.16,-15.24,-1,-4.96,0.0,-1.42,2,160.0,750.0,525.0,1365.0,170.0,1145.0
599,-200.0,161,50.0,161.0,0,False,3,0,1,0,3.4,0.58,0.0,1.55,0.33,1,0,2,0,0,0,0,1,0,0,1,0,170.18,182.88,145,0,2,0,4.03,0.38,0.0,4.5,0.33,2,0,6,0,0,0,2,0,0,0,2,0,170.18,182.88,145,26,33,0,-1,-1,-1,0,-4,0,1,0,0.0,0.0,7,-0.63,0.0,-2.95,2,105.0,275.0,900.0,750.0,525.0,800.0
616,-286.0,220,29.85074627,245.0,0,False,5,0,6,0,4.12,0.48,0.7,2.15,0.34,6,1,17,0,0,2,2,1,1,0,6,0,170.18,180.34,145,0,1,0,5.29,0.41,0.0,0.42,0.28,2,2,16,0,0,0,1,4,0,0,5,0,180.34,182.88,145,32,28,0,5,4,1,-1,1,0,-3,1,-10.16,-2.54,-4,-1.17,0.7,1.73,0,220.0,400.0,900.0,650.0,-130.0,600.0
618,-141.0,112,70.92198582,112.0,0,False,3,0,1,1,4.51,0.49,0.0,3.34,0.48,3,1,20,0,0,2,3,0,0,0,5,0,167.64,162.56,145,2,0,0,4.1,0.4,0.0,0.7,0.23,5,3,23,0,0,1,4,1,0,0,6,0,162.56,172.72,145,31,30,-2,2,-2,-1,-2,-3,0,-1,0,5.08,-10.16,-1,0.41,0.0,2.64,2,115.0,150.0,1000.0,750.0,750.0,650.0
622,-162.0,130,61.72839506,130.0,1,False,3,0,0,1,1.87,0.35,2.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,175.26,185.42,145,0,2,0,3.05,0.39,0.7,2.13,0.64,3,1,14,0,0,1,2,1,1,0,5,0,175.26,182.88,145,24,28,0,-2,-3,-5,-1,-11,0,-1,-1,0.0,2.54,4,-1.18,1.3,-2.13,2,160.0,300.0,300.0,2000.0,850.0,425.0
624,-143.0,115,66.66666667,120.0,0,False,3,1,0,0,2.53,0.31,1.5,4.55,0.5,1,2,5,0,0,0,0,0,1,0,1,0,172.72,172.72,145,1,0,0,6.26,0.54,0.0,2.98,0.39,2,3,13,0,0,0,2,1,0,0,3,0,175.26,172.72,145,31,28,0,0,-1,-2,-1,-8,0,-1,1,-2.54,0.0,-3,-3.73,1.5,1.57,2,200.0,600.0,625.0,300.0,400.0,350.0
628,-210.0,170,47.61904762,170.0,0,True,3,1,0,0,6.66,0.44,0.4,0.24,0.83,13,5,65,7,0,1,5,9,2,0,17,0,180.34,175.26,145,0,8,0,6.15,0.57,0.4,2.16,0.34,8,0,23,1,0,0,5,3,0,0,8,0,167.64,180.34,145,31,28,1,-8,5,9,5,42,6,6,2,12.7,-5.08,-3,0.51,0.0,-1.92,0,100.0,250.0,900.0,1000.0,300.0,400.0
634,-215.0,170,46.51162791,170.0,0,False,3,1,0,0,5.85,0.53,2.7,0.89,0.33,2,1,5,0,0,0,1,0,1,0,2,0,182.88,185.42,145,1,0,0,1.6,0.47,1.5,3.39,0.34,3,2,16,0,0,1,1,1,2,0,5,1,177.8,182.88,145,31,31,0,0,-1,-3,-1,-11,0,-1,-1,5.08,2.54,0,4.25,1.2,-2.5,2,240.0,425.0,185.0,625.0,800.0,700.0
650,-106.0,-114,94.33962264,87.71929825,1,False,3,0,1,0,2.07,0.56,2.0,6.0,0.5,1,0,3,0,0,0,1,0,0,0,1,2,177.8,182.88,145,0,1,0,2.87,0.48,2.5,0.35,0.2,1,2,8,0,0,0,0,0,1,0,1,1,177.8,185.42,145,30,23,0,0,0,0,-2,-5,0,0,-1,0.0,-2.54,-7,-0.8,-0.5,5.65,2,250.0,185.0,350.0,700.0,800.0,500.0
652,120.0,-140,120.0,71.42857143,0,False,3,0,3,0,7.09,0.5,0.2,0.36,1.0,3,1,19,0,0,1,2,2,1,0,6,0,180.34,190.5,145,0,2,0,3.63,0.36,0.2,1.5,0.45,2,2,19,0,0,1,2,3,0,0,6,0,167.64,177.8,145,35,29,0,1,1,0,-1,0,0,-1,1,12.7,12.7,-6,3.46,0.0,-1.14,0,600.0,240.0,2300.0,725.0,205.0,245.0
666,-220.0,200,45.45454545,200.0,0,False,3,0,1,0,4.85,0.43,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0,0,1,2,175.26,175.26,145,1,0,0,4.0,0.37,0.2,2.49,0.45,2,6,12,0,0,1,4,3,0,0,8,0,180.34,187.96,145,29,24,-1,1,-1,-7,-5,-12,0,-2,0,-5.08,-12.7,-5,0.85,-0.2,-2.49,2,120.0,645.0,475.0,1500.0,450.0,300.0
678,168.0,-195,168.0,51.28205128,0,False,3,0,1,0,5.16,0.63,3.8,0.77,0.16,1,0,1,0,0,0,0,1,0,0,1,1,185.42,187.96,145,0,1,0,3.98,0.48,0.8,0.53,0.75,4,10,55,0,0,3,4,1,2,0,10,1,177.8,185.42,145,31,20,0,0,-3,-9,-10,-54,0,0,-2,7.62,2.54,-11,1.18,3.0,0.24,2,420.0,450.0,1375.0,-140.0,475.0,560.0
680,-250.0,210,40.0,210.0,0,False,3,0,2,0,4.65,0.43,0.8,1.26,0.23,2,3,15,0,0,0,1,2,2,0,5,2,167.64,167.64,145,0,1,1,4.25,0.49,0.0,3.58,0.48,3,1,17,0,0,2,2,0,0,0,4,0,167.64,162.56,135,30,33,0,1,-1,1,2,-2,0,2,2,0.0,5.08,3,0.4,0.8,-2.32,2,-135.0,575.0,1015.0,455.0,650.0,905.0
695,-110.0,-110,90.90909091,90.90909091,0,False,3,1,0,0,4.84,0.39,0.0,0.0,0.0,1,2,9,0,0,0,1,0,0,0,1,0,170.18,177.8,145,0,2,0,3.65,0.55,0.0,0.38,0.33,2,1,8,0,0,1,1,0,0,0,2,0,175.26,170.18,145,29,29,1,-2,-1,-1,1,1,0,0,0,-5.08,7.62,0,1.19,0.0,-0.38,2,130.0,185.0,1440.0,1100.0,1050.0,520.0
698,112.0,-132,112.0,75.75757576,0,False,3,3,0,0,4.08,0.43,0.1,0.46,0.44,4,9,55,0,0,0,0,0,0,0,14,0,180.34,190.5,145,0,6,0,4.12,0.48,0.7,2.15,0.34,6,1,14,0,0,0,0,0,0,0,6,0,170.18,180.34,145,28,34,3,-6,-2,8,8,41,0,0,0,10.16,10.16,6,-0.04,-0.6,-1.69,0,320.0,177.0,550.0,3550.0,475.0,285.0
700,-200.0,170,50.0,170.0,0,False,3,1,0,0,3.7,0.48,1.3,0.88,0.42,5,5,31,0,0,0,0,0,0,0,9,2,172.72,177.8,145,0,5,1,4.32,0.42,0.5,0.73,0.75,4,0,10,0,0,0,0,0,0,0,5,0,172.72,170.18,145,22,27,1,-5,1,4,5,21,0,0,0,0.0,7.62,5,-0.62,0.8,0.15,2,130.0,560.0,1050.0,505.0,350.0,570.0
703,-420.0,335,23.80952381,335.0,0,False,3,1,0,0,2.27,0.36,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,167.64,0.0,145,0,3,0,3.31,0.44,0.0,0.51,0.5,3,0,6,0,0,0,0,0,0,0,3,0,182.88,187.96,145,31,31,1,-3,-3,-3,1,-6,0,0,0,-15.24,-187.96,0,-1.04,0.0,-0.51,2,165.0,800.0,825.0,885.0,105.0,860.0
704,100.0,-120,100.0,83.33333333,0,False,3,4,0,0,3.54,0.37,1.2,2.43,0.33,6,8,54,0,0,0,0,0,0,0,14,0,177.8,180.34,145,0,1,0,6.89,0.5,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,1,0,175.26,182.88,145,31,36,4,-1,5,13,7,53,0,0,0,2.54,-2.54,5,-3.35,1.2,2.43,2,320.0,150.0,1090.0,614.0,310.0,950.0
715,-200.0,170,50.0,170.0,1,False,3,0,1,0,4.87,0.45,0.9,1.47,0.29,2,3,13,0,0,0,1,1,2,0,4,2,167.64,167.64,145,0,1,0,4.0,0.5,2.5,2.0,0.33,1,0,3,0,0,0,1,0,0,0,1,0,172.72,175.26,145,28,33,0,0,1,3,3,10,0,1,2,-5.08,-7.62,5,0.87,-1.6,-0.53,2,-105.0,420.0,845.0,535.0,575.0,1050.0
718,-155.0,135,64.51612903,135.0,0,False,3,0,1,0,3.79,0.36,1.2,2.82,0.34,1,3,16,0,0,0,1,0,2,0,3,2,175.26,175.26,145,0,3,0,1.78,0.5,1.8,1.75,0.28,3,0,7,0,1,0,1,0,1,0,3,1,177.8,177.8,145,25,33,0,-2,-2,0,-3,9,0,0,1,-2.54,-2.54,-8,2.01,-0.6,1.07,2,155.0,257.0,320.0,650.0,950.0,800.0
727,210.0,-250,210.0,40.0,1,False,3,1,0,0,5.12,0.41,0.0,0.47,0.33,2,2,14,0,0,0,1,3,0,0,4,0,180.34,182.88,145,3,0,0,3.09,0.4,0.4,1.18,0.38,3,16,82,0,0,1,6,8,0,0,15,0,175.26,180.34,145,33,32,2,0,-1,-11,14,-68,0,-5,0,5.08,2.54,1,2.03,-0.4,-0.71,0,465.0,135.0,3000.0,1225.0,415.0,290.0
749,-170.0,160,58.82352941,160.0,1,False,3,0,1,0,3.33,0.52,0.0,0.51,0.33,1,0,3,0,0,1,0,0,0,0,1,0,182.88,187.96,145,0,0,0,8.27,0.68,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,187.96,145,30,31,0,1,1,1,0,3,0,0,0,5.08,0.0,-1,-4.94,0.0,0.51,2,240.0,285.0,275.0,1700.0,450.0,400.0
755,-475.0,380,21.05263158,380.0,0,False,3,0,0,0,6.85,0.54,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,177.8,145,0,2,0,3.76,0.46,2.1,5.23,0.45,2,0,5,0,0,0,1,0,1,0,2,2,177.8,182.88,145,26,29,0,-2,-2,-2,0,-5,0,0,-1,-7.62,-5.08,-3,3.09,-2.1,-5.23,2,475.0,700.0,-110.0,700.0,300.0,1200.0
760,-135.0,115,74.07407407,115.0,0,False,3,0,0,0,3.31,0.47,1.2,5.78,0.71,0,0,0,0,0,0,0,0,0,0,0,2,175.26,182.88,145,2,0,0,3.15,0.46,1.8,0.44,0.25,0,2,6,0,0,0,0,0,0,0,0,1,177.8,185.42,145,30,29,2,0,0,0,2,-6,0,0,0,-2.54,-2.54,1,0.16,-0.6,5.34,2,270.0,250.0,470.0,590.0,370.0,600.0
761,-190.0,165,52.63157895,165.0,1,False,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,170.18,180.34,145,0,0,0,9.04,0.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,182.88,198.12,145,30,26,0,0,0,0,0,0,0,0,0,-12.7,-17.78,4,-9.04,0.0,0.0,2,130.0,410.0,950.0,502.0,370.0,1000.0
768,-115.0,-105,86.95652174,95.23809524,1,False,3,0,0,1,2.28,0.35,0.0,3.03,0.56,3,1,13,0,0,1,1,1,0,0,3,0,172.72,172.72,145,1,0,0,3.78,0.36,0.0,0.25,0.5,2,1,9,0,0,0,2,0,0,0,2,0,170.18,185.42,145,31,29,1,0,1,1,0,4,0,1,0,2.54,-12.7,2,-1.5,0.0,2.78,2,170.0,175.0,900.0,750.0,650.0,700.0
787,-220.0,180,45.45454545,180.0,1,False,3,1,0,0,4.58,0.41,0.6,0.78,0.41,3,4,22,1,0,0,0,2,2,0,4,0,170.18,182.88,145,1,0,0,5.53,0.46,0.4,1.16,0.54,3,2,17,0,0,2,1,0,2,0,5,0,180.34,182.88,145,30,32,0,0,0,-1,-2,5,1,2,0,-10.16,0.0,-2,-0.95,0.2,-0.38,0,200.0,800.0,450.0,1200.0,300.0,275.0
792,120.0,-140,120.0,71.42857143,0,False,3,0,2,0,3.78,0.36,0.0,0.25,0.5,2,0,6,0,0,0,2,0,0,0,2,0,170.18,185.42,145,0,3,0,3.89,0.49,0.8,2.38,0.35,3,1,8,0,0,0,1,1,1,0,3,0,170.18,180.34,145,27,30,0,-1,-1,-1,1,-2,0,-1,-1,0.0,5.08,-3,-0.11,-0.8,-2.13,2,285.0,138.0,520.0,2300.0,1010.0,380.0
803,260.0,-320,260.0,31.25,1,False,3,0,5,0,3.19,0.41,0.5,1.36,0.52,5,0,15,0,0,1,2,0,2,0,5,1,172.72,177.8,145,4,0,0,3.44,0.33,0.2,1.64,0.41,8,7,74,2,0,2,7,8,0,0,17,0,175.26,185.42,145,37,35,4,5,-3,-12,7,-59,-2,-8,2,-2.54,-7.62,2,-0.25,0.3,-0.28,2,380.0,-123.0,1250.0,850.0,1318.0,375.0
825,150.0,-170,150.0,58.82352941,0,False,3,0,2,0,2.59,0.41,0.5,3.32,0.47,4,1,16,0,1,1,1,2,1,0,6,0,172.72,177.8,145,0,1,0,3.63,0.36,0.2,1.5,0.45,2,2,18,0,0,1,2,2,0,0,5,0,167.64,177.8,145,34,28,0,1,2,1,1,-2,0,0,1,5.08,0.0,6,-1.04,0.3,1.82,0,400.0,175.0,1200.0,1000.0,300.0,300.0
828,-160.0,140,62.5,140.0,0,False,3,1,0,0,3.0,0.42,0.0,0.0,0.0,2,2,12,0,0,1,1,0,0,0,2,0,172.72,182.88,145,0,1,0,4.0,0.37,0.2,2.49,0.45,2,5,30,0,0,1,4,2,0,0,7,0,180.34,187.96,145,29,28,-1,-1,0,-5,3,-18,0,-2,0,-7.62,-5.08,1,-1.0,-0.2,-2.49,2,156.0,210.0,746.0,1100.0,650.0,500.0
830,-115.0,-105,86.95652174,95.23809524,1,False,3,0,3,0,2.32,0.43,0.9,0.31,0.16,3,0,7,0,0,0,2,0,1,0,3,0,177.8,177.8,145,2,0,0,3.27,0.36,1.3,2.52,0.35,6,6,51,0,0,2,8,3,1,0,14,0,177.8,180.34,145,35,34,2,3,-3,-11,6,-44,0,-3,0,0.0,-2.54,1,-0.95,-0.4,-2.21,2,179.0,510.0,1250.0,160.0,439.0,1500.0
840,-115.0,-105,86.95652174,95.23809524,0,False,3,1,0,0,4.65,0.35,0.4,2.02,0.28,1,2,9,0,0,1,0,0,0,0,1,0,177.8,177.8,145,1,0,0,3.98,0.48,0.8,0.53,0.75,4,10,52,0,0,3,3,1,2,0,9,1,177.8,185.42,145,31,29,0,0,-3,-8,8,-43,0,-1,-2,0.0,-7.62,2,0.67,-0.4,1.49,2,179.0,195.0,645.0,510.0,642.0,853.0
847,-335.0,275,29.85074627,275.0,0,True,5,0,1,1,3.6,0.4,0.3,2.34,0.31,5,6,83,9,0,0,10,5,2,0,17,0,167.64,172.72,145,1,0,0,6.66,0.44,0.4,0.24,0.83,13,4,55,6,0,1,4,9,2,0,16,0,180.34,175.26,145,27,37,1,1,-8,1,-2,28,3,-4,0,-12.7,-2.54,-10,-3.06,-0.1,2.1,0,190.0,432.0,1190.0,1900.0,140.0,1160.0
