,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
2849,-560.0,430,17.85714286,430.0,0,True,5,0,3,0,37.57142857,0.35714285700000004,0.0,0.857142857,0.34428571399999996,3,1,17,2,0,0,2,3,0,1,6,0,160.02,167.64,135,0,8,0,65.25,0.528333333,0.5,4.583333333,0.46083333299999996,8,2,45,8,0,1,5,1,3,0,10,0,160.02,167.64,125,29,30,0,-5,-5,-4,1,-28,-6,3,-3,0.0,0.0,-1,-27.67857143,-0.5,-3.726190476,0,-124.0,1000.0,329.0,2000.0,550.0,575.0
2869,140.0,-160,140.0,62.5,0,False,3,1,0,0,34.33333333,0.34,0.333333333,1.6666666669999999,0.41666666700000005,2,1,8,0,0,0,1,1,0,0,2,0,170.18,175.26,125,1,0,0,27.0,0.455,0.5,1.0,0.2,1,1,6,0,0,0,1,0,0,0,1,0,170.18,172.72,125,34,30,0,0,1,1,0,2,0,1,0,0.0,2.54,4,7.33333333,-0.166666667,0.666666667,2,230.0,145.0,1025.0,1765.0,1033.0,350.0
2880,-480.0,383,20.83333333,383.0,0,False,3,0,1,0,20.5,0.43,0.5,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,0,172.72,177.8,125,1,0,0,42.4,0.47,0.0,2.4,0.354,2,2,15,0,0,2,0,1,0,0,3,0,165.1,165.1,125,26,28,1,1,-1,-2,1,-11,0,0,0,7.62,12.7,-2,-21.9,0.5,-2.4,0,131.0,577.0,250.0,2500.0,370.0,950.0
2916,-145.0,125,68.96551724,125.0,0,False,3,1,0,0,33.0,0.5371428570000001,0.571428571,0.571428571,0.062857143,1,4,14,0,0,0,2,0,1,0,3,0,167.64,167.64,125,0,1,0,26.0,0.49,1.0,2.0,0.41666666700000005,1,1,7,0,0,0,1,0,1,0,2,0,177.8,175.26,125,27,32,-1,-1,0,1,-3,7,0,0,0,-10.16,-7.62,-5,7.0,-0.428571429,-1.428571429,2,250.0,250.0,190.0,684.0,500.0,570.0
2944,120.0,-130,120.0,76.92307692,1,False,3,1,0,0,22.0,0.29,1.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,0,172.72,177.8,125,2,0,0,18.0,0.255,1.0,0.5,0.25,0,2,4,0,0,0,0,0,0,0,0,1,167.64,170.18,125,27,28,1,0,0,0,1,-1,0,0,0,5.08,7.62,-1,4.0,0.0,-0.5,2,256.0,325.0,515.0,885.0,465.0,315.0
2954,115.0,-135,115.0,74.07407407,1,False,3,0,1,0,67.0,0.42,0.333333333,0.666666667,0.2,1,1,9,0,0,0,1,1,0,0,2,0,175.26,172.72,135,0,2,0,54.33333333,0.39,1.333333333,1.0,0.443333333,2,1,9,0,0,0,2,0,0,0,2,0,162.56,162.56,125,35,23,0,-1,-1,0,0,0,0,1,0,12.7,10.16,12,12.66666667,-1.0,-0.333333333,2,220.0,177.0,685.0,425.0,500.0,755.0
2981,-1275.0,825,7.843137255,825.0,0,False,3,0,1,0,31.83333333,0.483333333,0.5,1.0,0.415,1,3,18,0,0,1,2,0,0,0,3,0,167.64,167.64,125,0,2,0,61.0,0.51,0.5,3.0,0.425,2,0,6,0,0,0,2,0,0,0,2,0,162.56,162.56,135,28,30,0,-1,-1,1,-3,12,0,0,0,5.08,5.08,-2,-29.16666667,0.0,-2.0,0,-185.0,1550.0,370.0,2615.0,482.0,1950.0
3005,-105.0,-115,95.23809524,86.95652174,0,False,3,0,2,0,22.75,0.35,0.5,4.25,0.555,2,1,10,0,0,0,2,0,1,0,3,1,162.56,165.1,125,0,2,0,9.0,0.34600000000000003,0.2,1.4,0.25,2,2,10,0,0,0,2,0,1,0,3,0,165.1,170.18,125,30,30,0,0,0,0,1,0,0,0,0,-2.54,-5.08,0,13.75,0.3,2.85,0,140.0,180.0,706.0,825.0,660.0,905.0
3014,-750.0,525,13.33333333,525.0,0,False,3,0,2,0,29.0,0.4,0.857142857,0.571428571,0.20714285699999999,2,2,19,1,0,1,0,1,3,0,5,0,167.64,167.64,125,0,2,0,41.7,0.34299999999999997,0.4,1.0,0.215,3,2,24,2,0,0,4,3,1,0,8,1,162.56,165.1,125,30,31,0,0,-1,-3,0,-5,-1,-2,2,5.08,2.54,-1,-12.7,0.457142857,-0.428571429,0,-125.0,825.0,320.0,1250.0,500.0,1400.0
3015,-800.0,550,12.5,550.0,0,False,3,0,1,0,26.5,0.455,0.25,4.5,0.4625,2,1,12,0,0,0,3,0,0,0,3,1,162.56,162.56,125,0,2,0,38.66666667,0.365,0.0,0.666666667,0.291666667,3,1,14,2,0,0,1,3,0,1,5,0,160.02,167.64,135,30,32,0,-1,-1,-2,0,-2,-2,-4,0,2.54,-5.08,-2,-12.16666667,0.25,3.833333333,0,-115.0,550.0,1400.0,1500.0,180.0,1500.0
