,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
3897,245.0,-265,245.0,37.73584906,1,False,5,0,2,0,35.33333333,0.566666667,0.0,0.333333333,0.083333333,2,2,11,0,0,0,1,3,0,0,4,0,193.04,195.58,231,0,1,0,22.375,0.38875,1.25,0.875,0.16375,2,3,16,2,0,0,2,1,2,0,5,0,190.5,195.58,240,37,35,0,1,0,-1,1,-5,-2,2,-2,2.54,0.0,2,12.95833333,-1.25,-0.541666667,1,600.0,325.0,1100.0,500.0,450.0,115.0
3909,-705.0,570,14.18439716,570.0,0,True,5,0,2,0,12.33333333,0.56,0.0,0.0,0.0,2,1,5,0,0,0,0,2,0,0,2,0,193.04,203.2,264,0,2,0,43.9,0.59,0.2,2.7,0.478,7,1,18,3,0,0,2,7,0,0,9,0,185.42,195.58,240,30,33,0,0,-5,-7,0,-13,-3,-5,0,7.62,7.62,-3,-31.56666667,-0.2,-2.7,0,650.0,1500.0,1500.0,2200.0,-380.0,825.0
3910,-475.0,420,21.05263158,420.0,0,False,3,0,4,0,24.0,0.45,0.2,0.8,0.4,4,1,10,0,0,0,1,3,0,0,4,0,177.8,182.88,265,1,0,0,46.5,0.532,0.0,0.3,0.15,9,1,21,3,0,0,2,7,0,0,9,0,193.04,195.58,238,29,39,1,4,-5,-5,0,-11,-3,-4,0,-15.24,-12.7,-10,-22.5,0.2,0.5,0,200.0,800.0,400.0,3500.0,200.0,420.0
3936,-235.0,215,42.55319149,215.0,0,False,3,0,1,0,33.52941176,0.5747058820000001,0.176470588,1.411764706,0.425882353,3,6,36,0,1,0,3,6,0,1,11,0,193.04,208.28,240,0,2,0,20.125,0.4175,0.125,0.375,0.1875,2,3,16,1,0,0,0,5,0,0,5,0,182.88,182.88,263,36,37,0,-1,1,6,-3,20,-1,2,0,10.16,25.4,-1,13.40441176,0.051470588,1.036764706,0,400.0,350.0,600.0,2500.0,-105.0,600.0
3959,-245.0,225,40.81632653,225.0,0,False,3,0,2,0,14.42857143,0.511428571,0.7142857140000001,1.285714286,0.577857143,4,5,23,1,0,0,0,5,4,0,9,0,187.96,193.04,242,1,0,0,19.16666667,0.431666667,0.333333333,1.166666667,0.526666667,3,2,10,0,0,0,1,2,1,0,4,0,198.12,200.66,255,30,33,1,2,1,5,-3,13,1,3,3,-10.16,-7.62,-3,-4.73809524,0.380952381,0.11904761900000001,2,350.0,480.0,1500.0,500.0,-140.0,950.0
3970,-250.0,230,40.0,230.0,0,False,3,1,0,0,15.75,0.49,0.25,1.5,0.4825,1,2,7,0,0,0,1,0,1,0,2,0,195.58,208.28,250,2,0,0,31.57142857,0.511428571,0.571428571,0.0,0.0,5,2,14,0,0,0,1,4,0,0,5,2,190.5,200.66,265,34,26,1,0,-4,-3,0,-7,0,-4,1,5.08,7.62,8,-15.82142857,-0.321428571,1.5,2,708.0,675.0,3300.0,469.0,-170.0,1000.0
3994,-205.0,188,48.780487799999996,188.0,1,False,3,0,3,0,18.25,0.42,0.25,0.75,0.375,3,1,7,0,0,0,1,2,0,0,3,0,177.8,182.88,265,0,4,0,19.91666667,0.435833333,1.5,0.25,0.25,4,3,19,0,1,0,0,4,4,0,9,0,210.82,213.36,265,25,38,0,-1,-1,-6,2,-12,0,-2,-4,-33.02,-30.48,-13,-1.66666667,-1.25,0.5,0,500.0,875.0,100.0,3000.0,700.0,180.0
4008,-105.0,-105,95.23809524,95.23809524,0,False,3,1,0,0,36.0,0.6033333329999999,0.0,0.0,0.0,2,1,3,0,0,0,0,2,0,0,2,0,193.04,208.28,240,2,0,0,22.85714286,0.467142857,0.0,0.571428571,0.071428571,4,3,11,1,0,0,1,3,0,0,4,0,193.04,198.12,245,29,35,1,0,-2,-2,2,-8,-1,-1,0,0.0,10.16,-6,13.14285714,0.0,-0.571428571,2,868.0,1200.0,160.0,2830.0,600.0,120.0
4028,-440.0,390,22.72727273,390.0,1,False,3,0,1,0,8.0,0.625,0.0,0.0,0.0,1,1,2,0,0,0,0,1,0,0,1,0,193.04,203.2,264,0,1,0,19.0,0.79,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,0,193.04,203.2,265,32,33,0,0,0,0,-1,1,0,0,0,0.0,0.0,-1,-11.0,0.0,0.0,2,575.0,1650.0,1250.0,1050.0,-265.0,529.0
4050,-115.0,105,86.95652174,105.0,0,False,3,0,1,0,18.5,0.4,0.5,1.75,0.2125,1,2,9,0,0,0,1,1,0,0,2,0,193.04,198.12,265,0,1,0,14.23076923,0.504615385,0.692307692,1.153846154,0.593846154,4,5,21,1,0,0,0,5,3,0,8,0,187.96,193.04,242,33,31,0,0,-3,-6,3,-12,-1,-4,-3,5.08,5.08,2,4.26923077,-0.192307692,0.596153846,2,497.0,380.0,255.0,1790.0,427.0,220.0
