,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
466,-335.0,250,29.85074627,250.0,0,False,3,0,1,0,3.6,0.36,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,2,190.5,198.12,205,0,1,0,4.08,0.55,2.6,4.63,0.81,3,1,7,0,0,0,0,2,2,0,4,0,187.96,187.96,205,24,26,0,0,-2,-3,-1,-6,0,-1,-2,2.54,10.16,2,-0.48,-2.6,-4.63,2,450.0,750.0,150.0,1625.0,350.0,435.0
473,277.0,-375,277.0,26.66666667,1,False,3,1,0,0,1.2,0.56,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,0,190.5,198.12,220,3,0,0,2.89,0.56,2.8,8.4,0.42,2,3,5,0,0,0,0,0,2,0,2,0,180.34,177.8,205,33,36,-2,0,-2,-2,-2,-2,0,0,-2,10.16,20.32,3,-1.69,-2.8,-8.4,2,900.0,375.0,600.0,450.0,1200.0,110.0
499,-265.0,215,37.73584906,215.0,1,True,5,0,3,0,3.45,0.48,0.3,1.16,0.52,4,5,37,0,0,1,3,3,2,0,9,0,187.96,198.12,205,1,0,0,4.88,0.49,0.2,0.24,0.16,6,1,15,1,0,1,1,3,1,0,6,1,193.04,195.58,205,30,37,-1,3,-2,3,4,22,-1,0,1,-5.08,2.54,7,-1.43,0.1,0.92,0,240.0,740.0,1475.0,750.0,100.0,460.0
506,134.0,-167,134.0,59.88023952,0,False,3,0,1,0,5.96,0.53,0.0,0.72,0.5,1,0,3,0,0,0,1,0,0,0,1,0,185.42,187.96,205,0,0,0,6.61,0.78,0.0,3.54,0.57,0,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,205,32,25,0,1,1,1,0,3,0,0,0,7.62,2.54,-7,-0.65,0.0,-2.82,2,1050.0,260.0,1100.0,2200.0,215.0,180.0
508,-182.0,150,54.94505495,150.0,1,False,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,198.12,198.12,205,3,0,0,4.64,0.51,0.0,1.44,0.3,0,3,7,0,0,0,0,0,0,0,0,0,190.5,198.12,205,25,34,-3,0,0,0,-3,-7,0,0,0,7.62,0.0,9,-4.64,0.0,-1.44,2,305.0,600.0,850.0,445.0,150.0,515.0
511,-125.0,100,80.0,100.0,0,False,3,0,4,0,3.32,0.43,1.9,1.13,0.3,4,0,9,0,0,1,1,1,1,0,4,0,195.58,200.66,205,2,0,0,4.01,0.7,1.3,0.43,1.0,3,2,7,0,0,0,0,3,0,0,3,0,198.12,208.28,205,28,29,-2,4,1,1,-2,2,0,-2,1,-2.54,-7.62,1,-0.69,0.6,0.7,0,500.0,475.0,1000.0,450.0,125.0,325.0
525,195.0,-250,195.0,40.0,0,False,3,0,1,0,4.59,0.54,0.0,0.0,0.0,1,2,9,0,0,0,0,2,0,0,2,1,193.04,208.28,205,0,2,0,3.33,0.49,1.2,2.2,0.48,3,11,52,1,0,1,3,4,4,0,12,0,185.42,195.58,205,39,31,0,-1,-2,-10,-9,-43,-1,-2,-4,7.62,12.7,-8,1.26,-1.2,-2.2,2,400.0,400.0,1000.0,2000.0,700.0,-135.0
535,110.0,-134,110.0,74.62686567,0,False,3,1,0,0,3.75,0.47,0.0,0.0,0.0,2,1,5,0,0,0,0,2,0,0,2,0,182.88,193.04,205,1,0,0,2.6,0.46,0.6,1.27,0.4,5,10,65,1,1,0,4,8,5,0,18,1,190.5,203.2,205,37,32,0,0,-3,-16,-9,-60,-1,-6,-5,-7.62,-10.16,-5,1.15,-0.6,-1.27,2,500.0,350.0,240.0,1400.0,700.0,160.0
541,225.0,-278,225.0,35.97122302,1,False,3,1,0,0,5.17,0.52,0.3,1.2,0.28,4,1,11,0,0,0,2,2,0,0,4,0,193.04,198.12,205,1,0,0,3.19,0.46,0.7,0.45,0.27,3,7,42,1,0,0,1,6,3,0,10,0,193.04,193.04,205,32,28,0,0,1,-6,-6,-31,-1,-4,-3,0.0,5.08,-4,1.98,-0.4,0.75,0,500.0,215.0,500.0,1200.0,550.0,105.0
552,188.0,-240,188.0,41.66666667,1,False,3,1,0,0,4.3,0.52,0.0,0.0,0.0,1,2,8,0,0,0,0,1,0,0,1,1,193.04,208.28,205,2,0,0,2.39,0.39,0.0,0.0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,190.5,187.96,205,32,31,-1,0,1,1,0,6,0,1,0,2.54,20.32,-1,1.91,0.0,0.0,2,425.0,550.0,1000.0,1500.0,375.0,-130.0
