,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
1650,265.0,-325,265.0,30.76923077,0,False,3,1,0,0,5.5,0.22,0.0,0.0,0.0,1,1,2,0,0,0,0,1,0,0,1,0,182.88,195.58,155,1,0,0,29.0,0.42,0.0,1.0,0.16,0,1,2,1,0,0,0,0,0,0,0,1,180.34,182.88,155,22,34,0,0,1,1,0,0,-1,1,0,2.54,12.7,-12,-23.5,0.0,-1.0,2,430.0,450.0,1200.0,850.0,1280.0,-135.0
1658,-185.0,160,54.05405405,160.0,0,False,3,0,3,0,39.0,0.37,0.0,1.0,0.212,3,1,15,0,0,0,4,0,0,0,4,1,167.64,167.64,155,0,1,0,45.0,0.36,0.5,2.5,0.275,1,1,6,0,0,0,0,0,1,0,1,0,167.64,177.8,155,31,34,0,2,2,3,0,9,0,0,-1,0.0,-10.16,-3,-6.0,-0.5,-1.5,2,180.0,160.0,345.0,1400.0,900.0,1200.0
1664,145.0,-165,145.0,60.60606061,1,False,5,1,0,0,36.91666667,0.44833333299999995,0.916666667,2.333333333,0.444166667,5,3,26,1,0,1,3,1,4,0,9,0,175.26,195.58,170,1,0,0,40.66666667,0.441111111,0.055555556,0.38888888899999996,0.203333333,4,5,43,0,1,1,5,6,0,0,13,0,180.34,190.5,155,32,25,0,0,1,-4,2,-17,1,-5,4,-5.08,5.08,7,-3.75,0.8611111109999999,1.9444444440000002,0,375.0,375.0,1800.0,165.0,300.0,700.0
1669,250.0,-300,250.0,33.33333333,1,False,3,0,2,0,36.125,0.44625,0.25,0.375,0.12375,2,3,18,0,0,0,0,3,2,0,5,2,182.88,190.5,155,3,0,0,30.71428571,0.37,1.392857143,1.214285714,0.41428571399999997,7,11,68,0,0,2,6,3,6,0,17,1,172.72,180.34,155,34,28,3,2,-5,-12,8,-50,0,0,-4,10.16,10.16,6,5.41071429,-1.142857143,-0.8392857140000001,2,425.0,-120.0,1000.0,650.0,1200.0,350.0
1675,-125.0,105,80.0,105.0,0,False,5,1,0,0,113.0,0.55,0.0,0.0,0.0,1,1,5,0,0,0,0,1,0,0,1,0,180.34,177.8,155,0,1,0,45.89473684,0.501052632,0.578947368,1.263157895,0.280526316,4,5,39,0,1,0,4,6,3,0,14,1,175.26,182.88,155,29,29,-1,-1,-3,-13,4,-34,0,-5,-3,5.08,-5.08,0,67.10526316,-0.578947368,-1.263157895,0,525.0,825.0,585.0,1500.0,160.0,155.0
1689,-640.0,470,15.625,470.0,0,True,5,0,5,0,48.5,0.457,0.3,0.8,0.258,5,2,23,1,0,1,3,4,0,0,8,0,177.8,177.8,155,0,9,0,50.33333333,0.512222222,0.444444444,4.777777778,0.371111111,9,0,24,0,0,0,5,2,2,0,9,0,177.8,177.8,155,29,30,0,-4,-4,-1,-2,-1,1,2,-2,0.0,0.0,-1,-1.83333333,-0.144444444,-3.977777778,0,459.0,1750.0,157.0,2400.0,119.0,550.0
1693,-145.0,125,68.96551724,125.0,1,False,3,2,0,0,59.0,0.56,0.0,0.0,0.0,1,2,8,0,0,0,1,0,0,0,1,0,172.72,172.72,155,2,0,0,21.28,0.424,1.16,1.32,0.3984,3,11,50,0,0,1,1,4,7,1,14,0,177.8,180.34,155,33,31,0,0,-2,-13,9,-42,0,-5,-7,-5.08,-7.62,2,37.72,-1.16,-1.32,2,317.0,330.0,197.0,1775.0,670.0,380.0
1695,-140.0,120,71.42857143,120.0,1,False,3,0,3,0,33.5,0.515,0.5,2.625,0.32,3,2,22,1,0,1,1,0,4,0,6,1,175.26,177.8,155,1,0,0,66.44444444,0.39333333299999995,0.833333333,1.5,0.32666666699999997,4,7,46,0,0,3,5,1,1,1,11,1,177.8,177.8,155,36,29,1,3,-1,-5,5,-24,1,-2,3,-2.54,0.0,7,-32.94444444,-0.333333333,1.125,0,110.0,211.0,950.0,493.0,930.0,990.0
1706,-210.0,175,47.61904762,175.0,1,False,3,0,3,0,33.0,0.4125,0.25,1.75,0.1775,3,1,12,0,0,0,2,1,0,0,3,0,180.34,190.5,155,1,0,0,37.57142857,0.46285714299999997,0.571428571,0.28571428600000004,0.19,3,2,16,0,1,1,1,2,0,0,5,1,177.8,177.8,155,27,33,1,3,0,-2,1,-4,0,-1,0,2.54,12.7,-6,-4.57142857,-0.321428571,1.464285714,2,148.0,240.0,900.0,1245.0,315.0,1350.0
1734,-210.0,175,47.61904762,175.0,0,False,3,0,1,0,38.6875,0.50125,0.375,0.8125,0.31625,7,4,39,0,0,1,6,2,2,1,12,1,175.26,177.8,155,0,3,0,35.22222222,0.321111111,0.5555555560000001,0.111111111,0.055555556,5,1,18,0,0,0,3,2,3,0,8,0,190.5,193.04,155,30,39,0,-2,2,4,-3,21,0,1,-1,-15.24,-15.24,-9,3.46527778,-0.180555556,0.7013888890000001,0,165.0,300.0,300.0,1400.0,260.0,675.0
