,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
2666,-225.0,185,44.44444444,185.0,0,False,3,0,1,0,15.0,0.465454545,0.181818182,1.181818182,0.639090909,1,6,18,0,0,0,1,1,1,1,5,1,182.88,177.8,185,0,1,0,48.0,0.461428571,0.428571429,0.214285714,0.053571429000000004,4,7,36,0,0,2,3,0,1,1,7,0,187.96,193.04,185,29,33,0,0,-3,-2,1,-18,0,1,0,-5.08,-15.24,-4,-33.0,-0.24675324699999998,0.9675324679999999,2,160.0,334.0,519.0,900.0,305.0,1000.0
2669,-130.0,110,76.92307692,110.0,1,False,3,1,0,0,7.0,0.58,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,2,180.34,198.12,185,0,1,0,18.8,0.6,0.4,0.2,0.2,1,3,10,0,0,0,0,1,1,0,2,0,175.26,185.42,185,33,28,-1,-1,-1,-2,2,-9,0,-1,-1,5.08,12.7,5,-11.8,-0.4,-0.2,2,630.0,831.0,170.0,1400.0,425.0,205.0
2693,-175.0,155,57.14285714,155.0,0,False,3,1,0,0,17.5,0.4825,0.5,0.25,0.0825,1,3,7,0,0,0,1,0,0,0,1,1,180.34,195.58,185,0,3,0,40.07692308,0.473076923,0.538461538,2.461538462,0.291538462,3,5,36,0,0,2,5,0,1,0,8,0,182.88,193.04,185,33,34,-1,-3,-2,-7,2,-29,0,0,-1,-2.54,2.54,-1,-22.57692308,-0.038461537999999997,-2.211538462,0,140.0,760.0,755.0,550.0,550.0,348.0
2729,-440.0,350,22.72727273,350.0,1,False,3,2,0,0,24.57894737,0.515263158,0.736842105,1.526315789,0.471052632,4,8,40,1,0,0,4,4,3,0,11,0,182.88,187.96,185,2,0,0,21.875,0.435625,0.5625,1.9375,0.4375,3,7,31,1,0,1,4,2,2,0,9,0,187.96,193.04,185,32,36,0,0,1,2,-1,9,0,2,1,-5.08,-5.08,-4,2.70394737,0.174342105,-0.411184211,0,183.0,753.0,646.0,1000.0,140.0,700.0
2731,-220.0,180,45.45454545,180.0,1,False,3,1,0,0,17.16666667,0.49,1.6666666669999999,1.5,0.38333333299999994,1,3,12,0,0,0,1,1,1,0,3,2,193.04,198.12,185,0,3,0,19.66666667,0.553333333,0.333333333,0.333333333,0.166666667,3,0,5,0,0,0,0,2,1,0,3,0,190.5,200.66,185,27,29,-1,-3,-2,0,-3,7,0,-1,0,2.54,-2.54,-2,-2.5,1.333333334,1.166666667,2,280.0,700.0,351.0,500.0,280.0,395.0
2737,-150.0,130,66.66666667,130.0,1,True,5,0,4,0,13.0,0.606,1.0,0.2,0.2,4,1,7,0,0,0,0,1,3,0,4,1,190.5,195.58,185,0,9,0,32.0,0.47333333299999997,0.7777777779999999,2.333333333,0.7211111109999999,9,0,20,4,0,0,3,4,2,0,9,0,187.96,198.12,185,31,31,0,-5,-5,-5,-1,-13,-4,-3,1,2.54,-2.54,0,-19.0,0.222222222,-2.133333333,0,250.0,375.0,700.0,475.0,265.0,525.0
2738,-140.0,120,71.42857143,120.0,1,False,3,0,6,0,39.0,0.638333333,0.0,1.8333333330000001,0.305,6,0,16,0,0,0,1,5,0,0,6,1,182.88,185.42,185,0,5,0,18.0,0.53,1.2,1.6,0.446,5,0,9,0,0,0,1,1,3,0,5,0,185.42,182.88,185,36,38,0,1,1,1,0,7,0,4,-3,-2.54,2.54,-2,21.0,-1.2,0.233333333,1,210.0,475.0,275.0,2500.0,610.0,210.0
2761,-225.0,185,44.44444444,185.0,1,False,3,0,2,0,14.8,0.408,0.0,0.0,0.0,2,2,7,0,0,0,0,3,0,0,3,0,187.96,193.04,205,0,3,0,51.66666667,0.48,0.0,2.666666667,0.64,3,0,7,1,0,0,1,2,0,0,3,0,185.42,190.5,185,27,31,0,-1,-1,0,-2,0,-1,1,0,2.54,2.54,-4,-36.86666667,0.0,-2.666666667,2,161.0,486.0,440.0,1265.0,390.0,350.0
2773,105.0,-125,105.0,80.0,0,False,3,0,1,0,41.0,0.365,0.5,1.0,0.33,1,1,4,0,0,1,0,0,0,0,1,0,190.5,198.12,205,2,0,0,47.5,0.5175,0.5,1.5,0.6075,1,3,11,0,0,0,0,1,0,0,1,1,177.8,180.34,185,30,27,2,1,0,0,2,-7,0,-1,0,12.7,17.78,3,-6.5,0.0,-0.5,2,400.0,166.0,1303.0,820.0,275.0,455.0
2796,-155.0,135,64.51612903,135.0,1,False,3,0,3,0,46.85714286,0.42142857100000003,0.0,0.428571429,0.35714285700000004,3,2,16,1,0,0,2,3,0,0,5,0,182.88,185.42,185,0,2,0,30.75,0.5775,0.25,0.875,0.405,3,3,17,1,0,0,1,2,0,2,5,0,182.88,200.66,185,31,24,0,1,0,0,1,-1,0,-1,0,0.0,-15.24,7,16.10714286,-0.25,-0.446428571,0,275.0,275.0,1050.0,1500.0,190.0,400.0
