,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
2994,115.0,-135,115.0,74.07407407,1,False,3,0,1,0,28.0,0.47,0.333333333,2.0,0.25,1,1,5,0,0,0,1,1,0,0,2,0,182.88,185.42,185,0,1,0,34.14285714,0.545714286,0.14285714300000002,1.428571429,0.18857142899999998,4,2,19,0,0,2,2,1,0,0,5,1,182.88,185.42,170,34,27,0,0,-3,-3,1,-14,0,0,0,0.0,0.0,7,-6.14285714,0.19047619,0.571428571,2,170.0,230.0,770.0,601.0,1250.0,375.0
2999,-350.0,290,28.57142857,290.0,0,False,5,0,2,0,37.57894737,0.466315789,0.263157895,0.578947368,0.315263158,7,6,45,1,0,0,4,7,1,1,13,0,175.26,177.8,170,1,0,0,51.0,0.373,0.9,0.4,0.125,5,4,30,2,0,1,1,4,0,0,6,0,187.96,190.5,170,31,31,1,2,2,7,-2,15,-1,4,1,-12.7,-12.7,0,-13.42105263,-0.636842105,0.178947368,0,205.0,525.0,400.0,1800.0,230.0,450.0
3001,160.0,-185,160.0,54.05405405,1,False,3,1,0,0,29.0,0.38,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,0,180.34,193.04,170,1,0,0,30.75,0.42,0.0,0.0,0.0,2,2,9,0,0,0,1,1,0,0,2,0,177.8,182.88,155,32,27,0,0,-2,-2,1,-6,0,-1,0,2.54,10.16,5,-1.75,0.0,0.0,2,291.0,224.0,2200.0,170.0,424.0,448.0
3016,-210.0,175,47.61904762,175.0,0,False,3,4,0,0,28.90909091,0.502727273,0.363636364,2.363636364,0.436363636,2,6,27,0,0,1,2,1,1,0,5,0,177.8,182.88,170,1,0,0,23.78571429,0.51,0.5,2.285714286,0.47071428600000004,4,4,35,0,0,1,6,3,0,0,10,1,187.96,193.04,170,33,35,-3,0,-2,-5,-2,-8,0,-2,1,-10.16,-10.16,-2,5.12337662,-0.13636363599999998,0.07792207799999999,0,102.0,593.0,580.0,1420.0,605.0,350.0
3018,265.0,-325,265.0,30.76923077,1,False,3,0,2,0,17.0,0.505,0.5,3.5,0.705,2,0,4,0,0,0,0,1,1,0,2,0,180.34,182.88,170,1,0,0,20.07142857,0.395714286,0.7857142859999999,1.071428571,0.252857143,4,5,27,0,0,1,2,4,2,0,9,0,182.88,187.96,170,39,27,1,2,-2,-7,5,-23,0,-3,-1,-2.54,-5.08,12,-3.07142857,-0.28571428600000004,2.4285714290000002,2,690.0,191.0,575.0,260.0,700.0,220.0
3024,105.0,-125,105.0,80.0,1,False,3,0,6,0,45.88888889,0.45333333299999995,0.111111111,2.333333333,0.532222222,6,2,24,0,0,0,4,2,1,0,7,0,190.5,203.2,170,0,1,0,55.0,0.5,0.25,0.25,0.25,2,1,9,0,0,0,0,3,0,0,3,0,190.5,195.58,170,30,27,0,5,4,4,-1,15,0,-1,1,0.0,7.62,3,-9.11111111,-0.13888888900000002,2.083333333,1,515.0,160.0,1167.0,873.0,215.0,515.0
3029,130.0,-140,130.0,71.42857143,0,False,3,1,0,0,27.33333333,0.433333333,1.333333333,2.0,0.25,1,2,5,1,0,0,1,0,0,0,1,0,187.96,187.96,170,1,0,0,52.0,0.34,0.0,2.0,0.29,1,1,6,0,0,1,0,0,0,0,1,0,182.88,180.34,170,27,26,0,0,0,0,-1,-1,1,0,0,5.08,7.62,1,-24.66666667,1.333333333,0.0,2,252.0,150.0,861.0,400.0,675.0,689.0
3043,-140.0,120,71.42857143,120.0,1,False,3,1,0,0,15.0,0.3,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,0,170.18,175.26,170,1,0,0,8.666666667000001,0.496666667,0.0,0.666666667,0.276666667,1,2,5,0,0,0,0,1,0,0,1,0,180.34,185.42,170,38,27,0,0,-1,-1,1,-2,0,-1,0,-10.16,-10.16,11,6.333333333,0.0,-0.666666667,2,222.0,305.0,610.0,571.0,415.0,505.0
3050,-260.0,220,38.46153846,220.0,0,False,3,2,0,0,12.11111111,0.438888889,0.222222222,1.0,0.558888889,1,5,13,0,0,0,1,1,1,1,4,1,182.88,177.8,185,1,0,0,28.0625,0.438125,0.125,0.4375,0.135,4,9,39,2,0,1,3,2,0,0,7,0,180.34,180.34,170,35,32,-1,0,-3,-3,4,-26,-2,0,1,2.54,-2.54,3,-15.95138889,0.097222222,0.5625,2,235.0,400.0,800.0,950.0,170.0,600.0
3054,-210.0,175,47.61904762,175.0,0,False,3,0,1,0,37.0,0.59,0.0,0.0,0.0,1,2,9,0,0,1,0,1,0,0,2,0,177.8,177.8,170,0,2,0,57.0,0.605,0.0,3.0,0.75,2,0,6,0,0,1,1,0,0,0,2,0,185.42,187.96,170,33,39,0,-1,-1,0,-2,3,0,1,0,-7.62,-10.16,-6,-20.0,0.0,-3.0,2,193.0,510.0,600.0,1880.0,210.0,375.0
