,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
4039,-150.0,140,66.66666667,140.0,0,False,3,3,0,2,0,49.85714286,0.484285714,0.28571428600000004,0.571428571,0.154285714,4,1,14,0,0,0,2,2,2,0,6,0,185.42,185.42,155,0,2,0,14.66666667,0.386666667,0.333333333,2.0,0.22,2,1,7,0,0,1,0,1,0,0,2,0,177.8,182.88,170,25,29,0,0,2,4,0,7,0,1,2,7.62,2.54,-4,35.19047619,-0.047619047000000005,-1.428571429,2,175.0,235.0,925.0,880.0,365.0,878.0
4040,-225.0,205,44.44444444,205.0,1,False,2,3,0,3,0,20.33333333,0.43,1.6666666669999999,1.0,0.276666667,3,0,6,0,0,0,1,1,1,0,3,0,172.72,180.34,145,0,2,0,22.0,0.29,0.0,0.0,0.0,2,0,4,0,0,0,1,1,0,0,2,1,177.8,180.34,155,24,30,0,1,1,1,0,2,0,0,1,-5.08,0.0,-6,-1.66666667,1.6666666669999999,1.0,2,192.0,275.0,989.0,1000.0,200.0,1325.0
4048,-121.0,111,82.64462809999999,111.0,0,False,5,5,0,1,0,49.41176471,0.417647059,0.294117647,1.529411765,0.392941176,4,4,40,1,0,1,4,8,0,0,13,0,185.42,190.5,185,1,0,0,10.1875,0.51125,0.5,0.375,0.171875,3,6,25,5,0,0,0,7,2,1,10,1,182.88,187.96,185,35,33,1,1,1,3,2,15,-4,0,-2,2.54,2.54,2,39.22426471,-0.20588235300000002,1.154411765,2,600.0,180.0,1200.0,1950.0,170.0,453.0
4050,-115.0,105,86.95652174,105.0,0,False,7,3,0,1,0,18.5,0.4,0.5,1.75,0.2125,1,2,9,0,0,0,1,1,0,0,2,0,193.04,198.12,265,0,1,0,14.23076923,0.504615385,0.692307692,1.153846154,0.593846154,4,5,21,1,0,0,0,5,3,0,8,0,187.96,193.04,242,33,31,0,0,-3,-6,3,-12,-1,-4,-3,5.08,5.08,2,4.26923077,-0.192307692,0.596153846,2,497.0,380.0,255.0,1790.0,427.0,220.0
4051,175.0,-190,175.0,52.63157895,1,False,3,3,0,2,0,30.0,0.345,0.5,1.5,0.165,2,0,6,0,0,0,1,0,1,0,2,0,177.8,177.8,155,0,2,0,21.58333333,0.433333333,1.083333333,2.583333333,0.475,2,5,30,0,0,0,4,1,2,0,7,0,170.18,172.72,145,28,24,0,0,0,-5,5,-24,0,-1,-1,7.62,5.08,4,8.41666667,-0.583333333,-1.083333333,2,233.0,179.0,1150.0,855.0,1270.0,290.0
4058,-190.0,175,52.63157895,175.0,1,True,7,5,0,1,0,36.44444444,0.601111111,0.222222222,1.7777777780000001,0.494444444,7,1,13,2,0,0,1,7,0,0,8,0,185.42,195.58,240,0,9,0,45.33333333,0.545555556,0.0,0.333333333,0.166666667,9,0,16,2,0,0,2,7,0,0,9,0,193.04,195.58,238,28,30,0,-8,-2,-1,-1,-3,0,0,0,-7.62,0.0,-2,-8.88888889,0.222222222,1.444444445,2,638.0,865.0,1325.0,1750.0,-121.0,254.0
4059,-185.0,170,54.05405405,170.0,0,False,3,3,0,1,0,13.53846154,0.43076923100000003,1.615384615,1.384615385,0.44,3,4,22,0,0,0,0,2,7,0,9,0,177.8,180.34,155,1,0,0,24.07692308,0.329230769,2.076923077,1.5384615380000002,0.413076923,7,3,31,0,0,0,4,2,4,0,10,1,172.72,180.34,155,29,28,1,1,-4,-1,-1,-9,0,0,3,5.08,0.0,1,-10.53846154,-0.46153846200000004,-0.153846153,2,200.0,439.0,225.0,400.0,843.0,1320.0
4060,-145.0,135,68.96551724,135.0,1,False,5,3,0,4,0,36.2,0.426,0.4,0.6,0.332,4,1,13,0,0,1,2,1,0,0,4,0,180.34,185.42,185,0,4,0,32.8,0.51,0.5,1.5,0.21600000000000003,4,3,24,0,0,1,3,3,0,0,7,0,182.88,187.96,185,31,33,0,0,0,-3,2,-11,0,-2,0,-2.54,-2.54,-2,3.4,-0.1,-0.9,2,181.0,213.0,625.0,2125.0,750.0,530.0
4061,105.0,-115,105.0,86.95652174,0,False,5,3,0,4,0,25.92307692,0.426153846,0.46153846200000004,0.307692308,0.20307692300000002,4,4,25,0,0,1,0,4,3,1,9,0,187.96,185.42,185,0,1,0,28.66666667,0.396,0.533333333,1.533333333,0.40666666700000004,4,4,41,1,0,1,5,4,0,1,11,1,187.96,190.5,170,31,28,0,3,0,-2,0,-16,-1,0,3,0.0,-5.08,3,-2.74358975,-0.071794871,-1.225641025,2,125.0,400.0,2470.0,1060.0,1050.0,240.0
4070,-185.0,170,54.05405405,170.0,0,False,7,5,1,0,0,34.66666667,0.52,0.666666667,0.0,0.0,5,1,13,0,0,0,1,4,0,0,5,2,190.5,200.66,265,0,1,0,19.71428571,0.415714286,0.14285714300000002,0.428571429,0.214285714,2,3,15,1,0,0,0,4,0,0,4,0,182.88,182.88,263,36,34,-1,-1,3,1,2,-2,-1,0,0,7.62,17.78,2,14.95238096,0.523809524,-0.428571429,2,310.0,325.0,700.0,2575.0,125.0,450.0
4072,220.0,-240,220.0,41.66666667,0,False,7,3,1,0,0,32.0,0.65,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,1,193.04,200.66,250,1,0,0,19.33333333,0.535555556,0.111111111,0.0,0.0,1,5,15,0,0,0,1,3,0,0,4,0,180.34,187.96,235,33,29,0,0,-1,-4,4,-13,0,-3,0,12.7,12.7,4,12.66666667,-0.111111111,0.0,2,1003.0,1006.0,1490.0,180.0,300.0,171.0
4073,-270.0,248,37.03703704,248.0,0,False,2,3,1,0,0,25.0,0.4625,0.25,1.5,0.445,1,2,9,1,0,0,1,1,0,0,2,1,182.88,185.42,145,1,0,0,47.6,0.456,0.8,1.4,0.376,4,1,13,0,0,0,2,0,2,0,4,1,175.26,182.88,155,23,27,0,0,-3,-2,-1,-4,1,1,-2,7.62,2.54,-4,-22.6,-0.55,0.1,2,125.0,350.0,395.0,1340.0,500.0,950.0
4081,190.0,-210,190.0,47.61904762,1,False,3,5,1,0,0,52.75,0.41,0.0,1.0,0.375,3,3,21,1,0,0,4,0,0,1,5,0,172.72,175.26,155,2,0,0,21.88888889,0.332222222,1.333333333,1.6666666669999999,0.42,7,2,19,0,0,0,2,1,4,0,7,0,177.8,180.34,155,35,28,1,0,-4,-2,-1,2,1,0,-4,-5.08,-5.08,7,30.86111111,-1.333333333,-0.666666667,2,257.0,250.0,440.0,573.0,2300.0,240.0
4090,-225.0,185,44.44444444,185.0,0,True,3,5,0,3,0,44.8125,0.434375,1.25,0.875,0.3425,5,5,36,1,0,1,1,1,8,0,11,1,182.88,193.04,170,0,5,0,62.4,0.414,1.2,2.6,0.606,5,0,19,2,0,1,4,0,0,0,5,1,175.26,177.8,170,29,27,0,-2,0,6,-5,17,-1,1,8,7.62,15.24,2,-17.5875,0.05,-1.725,2,-105.0,572.0,1067.0,405.0,450.0,1155.0
4091,240.0,-280,240.0,35.71428571,1,False,6,3,0,5,0,23.0,0.32857142899999997,0.7142857140000001,0.571428571,0.308571429,5,1,11,0,0,0,1,3,2,0,6,0,195.58,200.66,205,0,1,0,44.33333333,0.53,0.333333333,1.6666666669999999,0.22,2,4,26,3,0,0,0,5,0,0,5,0,185.42,193.04,205,31,25,0,4,3,1,3,-15,-3,-2,2,10.16,7.62,6,-21.33333333,0.380952381,-1.0952380959999999,2,457.0,125.0,2200.0,1025.0,575.0,245.0
4093,-140.0,120,71.42857143,120.0,1,False,4,3,0,3,0,30.84615385,0.586923077,1.153846154,1.076923077,0.42,3,5,29,0,0,0,2,5,1,0,8,0,182.88,190.5,170,0,1,0,19.92307692,0.45,0.384615385,0.615384615,0.34,5,3,26,0,1,0,2,5,2,0,10,0,185.42,195.58,170,33,31,0,2,-2,-2,-2,3,0,0,-1,-2.54,-5.08,2,10.92307693,0.7692307690000001,0.46153846200000004,2,365.0,483.0,195.0,583.0,634.0,385.0
4101,-300.0,270,33.33333333,270.0,0,True,4,5,0,5,0,53.16666667,0.415,1.0,0.666666667,0.208333333,5,1,16,1,0,1,1,3,0,0,5,0,187.96,190.5,170,0,9,0,54.27777778,0.5644444439999999,1.222222222,3.777777778,0.742777778,9,2,53,11,0,1,8,5,2,0,16,0,180.34,193.04,185,31,28,0,-4,-4,-11,1,-37,-10,-2,-2,7.62,-2.54,3,-1.11111111,-0.222222222,-3.111111111,2,115.0,1142.0,375.0,899.0,525.0,460.0
4102,-167.0,157,59.88023952,157.0,0,False,4,3,0,3,0,30.6,0.436,1.4,0.8666666670000001,0.32,4,4,31,0,0,2,2,2,5,0,11,0,182.88,182.88,170,0,4,0,31.0,0.614444444,0.5555555560000001,2.666666667,0.272222222,4,1,20,0,1,2,1,4,0,0,8,1,175.26,175.26,185,29,30,0,-1,0,3,-3,11,0,-2,5,7.62,7.62,-1,-0.4,0.8444444440000001,-1.8,2,199.0,322.0,1263.0,497.0,280.0,785.0
